iter	Logloss
0	0.5597706451
1	0.4447774788
2	0.3777558005
3	0.3272421455
4	0.2693897343
5	0.2221953006
6	0.1952597954
7	0.1728448574
8	0.1529667513
9	0.1384356096
10	0.1263087772
11	0.1174824411
12	0.1116002812
13	0.1053175793
14	0.1006098538
15	0.09488635566
16	0.09092227447
17	0.08697504017
18	0.084265432
19	0.08196147497
20	0.07884626351
21	0.07596234429
22	0.07347407073
23	0.07189171923
24	0.06952008039
25	0.0678587425
26	0.06682359133
27	0.06542045652
28	0.06461345238
29	0.06403798727
30	0.06314583892
31	0.06253883633
32	0.06130335019
33	0.06129092372
34	0.06037042963
35	0.0590523015
36	0.05905013369
37	0.05737227371
38	0.05737227257
39	0.05707733162
40	0.05481057481
41	0.05413617613
42	0.05372480408
43	0.05253110427
44	0.05244983287
45	0.05217987226
46	0.05185987019
47	0.0517945405
48	0.05137712838
49	0.05086936735
50	0.05012898328
51	0.04995353855
52	0.0495155504
53	0.04864590468
54	0.04857258079
55	0.04835095229
56	0.04735735361
57	0.04719787868
58	0.04660783232
59	0.04633348295
60	0.0461855745
61	0.04524183468
62	0.04452667885
63	0.04423057806
64	0.04263471821
65	0.04196959575
66	0.04192390092
67	0.0415151379
68	0.04035296503
69	0.03900195167
70	0.03887348288
71	0.03870972114
72	0.03839504828
73	0.03792014146
74	0.03777424364
75	0.03653638216
76	0.03537835704
77	0.03528855517
78	0.03509578056
79	0.03499152291
80	0.034826283
81	0.03468103714
82	0.03454225863
83	0.0344837424
84	0.03402401531
85	0.03385457821
86	0.03378347383
87	0.03348761752
88	0.03311644179
89	0.0322476756
90	0.03218318067
91	0.03216045712
92	0.03203670246
93	0.03192668693
94	0.03147916156
95	0.0314608135
96	0.03136450662
97	0.03124268973
98	0.03119555069
99	0.03091202518
100	0.03071262692
101	0.03069077859
102	0.03024825394
103	0.0302383865
104	0.03015579293
105	0.02983427933
106	0.02964061905
107	0.02961260874
108	0.02946603572
109	0.02945348994
110	0.02942316194
111	0.02941945668
112	0.02914340032
113	0.02892125415
114	0.02891932491
115	0.02886520746
116	0.02878163184
117	0.02875218422
118	0.02848714955
119	0.02799720345
120	0.02754414838
121	0.02738713379
122	0.02716703186
123	0.02709043258
124	0.02687334372
125	0.02686453706
126	0.02682061735
127	0.02640921015
128	0.02632219095
129	0.02616182361
130	0.02607872434
131	0.02595375297
132	0.02592244813
133	0.0258933059
134	0.02587478373
135	0.02582495255
136	0.02546798005
137	0.02538240272
138	0.02507218229
139	0.02442527757
140	0.02441182502
141	0.02438838642
142	0.02435051885
143	0.0240193332
144	0.02397872338
145	0.02387816025
146	0.02373279056
147	0.02367978869
148	0.02364863222
149	0.02354933315
150	0.02330455863
151	0.02330155058
152	0.02319435886
153	0.02296044186
154	0.02290271779
155	0.02279947745
156	0.02264333845
157	0.02246339546
158	0.0223531782
159	0.02213249994
160	0.02209417819
161	0.02181488138
162	0.02156817562
163	0.02137543478
164	0.02108127742
165	0.02101891215
166	0.02076749281
167	0.02054737809
168	0.02049477513
169	0.0204546284
170	0.02040709102
171	0.02036812363
172	0.02027420328
173	0.01987915575
174	0.01983011849
175	0.01960559582
176	0.01938739734
177	0.01924955502
178	0.01917031639
179	0.01894323197
180	0.0186942181
181	0.01867166533
182	0.01860516022
183	0.01851519994
184	0.01842319818
185	0.01832341736
186	0.01823203406
187	0.01818093756
188	0.01818092121
189	0.01783049228
190	0.01751426135
191	0.01746327308
192	0.01738865616
193	0.01716026403
194	0.01712704703
195	0.01710979324
196	0.01703949579
197	0.01702685014
198	0.01697653939
199	0.01688195591
200	0.01674578461
201	0.01673886378
202	0.01661127697
203	0.01654677192
204	0.01653776831
205	0.01651229325
206	0.01644073334
207	0.01638622806
208	0.01630446535
209	0.01596276904
210	0.01588200604
211	0.01579874653
212	0.01578379642
213	0.0156696174
214	0.0156359125
215	0.01558032352
216	0.01551485846
217	0.01550899484
218	0.01537285958
219	0.01532750011
220	0.01527606459
221	0.01522284961
222	0.01520092621
223	0.01507981651
224	0.01501191888
225	0.01497367177
226	0.01491944561
227	0.01487655638
228	0.01480544135
229	0.01476256176
230	0.01467116746
231	0.01464084114
232	0.01456707959
233	0.01452090287
234	0.01442008708
235	0.01441157678
236	0.01440090382
237	0.0143655525
238	0.0143156476
239	0.01426575054
240	0.01423171505
241	0.01422341774
242	0.01419965052
243	0.01418525113
244	0.01408705264
245	0.01405816713
246	0.01401831724
247	0.01397358516
248	0.01379894266
249	0.01375245718
250	0.01371280123
251	0.01356213452
252	0.01350527886
253	0.01346708026
254	0.01343394686
255	0.01337615636
256	0.01333342249
257	0.01329489015
258	0.01325277181
259	0.01296494622
260	0.01295903557
261	0.01287095674
262	0.01283587822
263	0.01278373882
264	0.01275407558
265	0.01273821737
266	0.01261385683
267	0.01259901713
268	0.01255302842
269	0.012487279
270	0.01245959011
271	0.01243557454
272	0.01240198908
273	0.01232761479
274	0.01230760219
275	0.01223027897
276	0.01220700602
277	0.01201379627
278	0.0119689088
279	0.01191917604
280	0.01181775116
281	0.01170359794
282	0.01169040152
283	0.01169034389
284	0.01147841289
285	0.01133289599
286	0.01128230321
287	0.01120550827
288	0.01118512667
289	0.01117568709
290	0.01115602401
291	0.0110938187
292	0.0110762894
293	0.01100276191
294	0.01092970707
295	0.01085192925
296	0.01082987487
297	0.01076675566
298	0.0105094561
299	0.01046989598
